time,seconds_elapsed,dBFS
1723738777001000000,0.039,-34.30464172363281
1723738777112000000,0.15,-31.153728485107422
1723738777211000000,0.249,-32.808258056640625
1723738777313000000,0.351,-31.37755012512207
1723738777430000000,0.468000244140625,-30.34262466430664
1723738777530000000,0.567999755859375,-20.334552764892578
1723738777629000000,0.667,-16.669086456298828
1723738777730000000,0.767999755859375,-20.769071578979492
1723738777846000000,0.884000244140625,-23.995140075683594
1723738777947000000,0.985,-26.56943702697754
1723738778047000000,1.085,-29.239578247070312
1723738778146000000,1.183999755859375,-31.125947952270508
1723738778246000000,1.284000244140625,-32.6033821105957
1723738778346000000,1.383999755859375,-33.281517028808594
1723738778463000000,1.501,-31.699708938598633
1723738778579000000,1.617,-34.02977752685547
1723738778679000000,1.717,-33.853111267089844
1723738778779000000,1.817,-27.37912368774414
1723738778880000000,1.918,-26.38636016845703
1723738778979000000,2.017,-29.566728591918945
1723738779079000000,2.117,-32.20783615112305
1723738779179000000,2.217,-34.406883239746094
1723738779279000000,2.317,-31.393413543701172
1723738779379000000,2.417,-31.842247009277344
1723738779479000000,2.517,-30.372648239135742
1723738779579000000,2.617,-23.509567260742188
1723738779679000000,2.717,-25.791528701782227
1723738779779000000,2.817,-19.77869415283203
1723738779879000000,2.917,-20.57437515258789
1723738779979000000,3.017,-19.809432983398438
1723738780079000000,3.117,-18.340892791748047
1723738780179000000,3.217,-13.238271713256836
1723738780279000000,3.317,-8.534765243530273
1723738780379000000,3.417,-5.662889003753662
1723738780480000000,3.518,-8.934520721435547
1723738780579000000,3.617,-11.52302074432373
1723738780679000000,3.717,-13.948271751403809
1723738780779000000,3.817,-16.69837760925293
1723738780890000000,3.927999755859375,-20.68193244934082
1723738780998000000,4.036000244140625,-23.250200271606445
1723738781096000000,4.134,-25.540586471557617
1723738781198000000,4.236000244140625,-23.44381332397461
1723738781313000000,4.351,-25.921154022216797
1723738781429000000,4.467,-25.643556594848633
1723738781529000000,4.567,-24.482864379882812
1723738781629000000,4.667,-26.371585845947266
1723738781729000000,4.767,-26.743488311767578
1723738781828000000,4.866,-21.446321487426758
1723738781929000000,4.967,-22.562210083007812
1723738782029000000,5.067,-25.660293579101562
1723738782129000000,5.167,-28.510478973388672
1723738782229000000,5.267,-30.86783790588379
1723738782329000000,5.367,-31.274219512939453
1723738782429000000,5.467,-32.6143798828125
1723738782529000000,5.567,-30.203245162963867
1723738782629000000,5.667,-28.228778839111328
1723738782729000000,5.767,-30.545230865478516
1723738782829000000,5.867,-30.804725646972656
1723738782929000000,5.967,-30.50551414489746
1723738783029000000,6.067,-32.321319580078125
1723738783129000000,6.167,-27.075336456298828
1723738783229000000,6.267,-29.26664924621582
1723738783329000000,6.367,-28.614181518554688
1723738783429000000,6.467,-31.36570167541504
1723738783546000000,6.583999755859375,-31.881061553955078
1723738783662000000,6.700000244140625,-31.79922103881836
1723738783762000000,6.799999755859375,-30.74138069152832
1723738783862000000,6.900000244140625,-26.905935287475586
1723738783962000000,6.999999755859375,-28.831575393676758
1723738784063000000,7.101,-28.768728256225586
1723738784162000000,7.199999755859375,-31.301250457763672
1723738784262000000,7.300000244140625,-32.987735748291016
1723738784362000000,7.399999755859375,-32.90851974487305
1723738784462000000,7.500000244140625,-32.001556396484375
1723738784562000000,7.599999755859375,-32.181678771972656
1723738784662000000,7.700000244140625,-33.993133544921875
1723738784762000000,7.799999755859375,-30.383329391479492
1723738784862000000,7.900000244140625,-32.30244827270508
1723738784962000000,7.999999755859375,-33.78345489501953
1723738785062000000,8.100000244140626,-32.29208755493164
1723738785162000000,8.199999755859375,-33.77045440673828
1723738785262000000,8.300000244140625,-34.24654006958008
1723738785362000000,8.399999755859374,-31.06678009033203
1723738785462000000,8.500000244140624,-33.86179733276367
1723738785562000000,8.599999755859375,-34.23163604736328
1723738785662000000,8.700000244140625,-31.070852279663086
1723738785762000000,8.799999755859375,-30.723506927490234
1723738785862000000,8.900000244140625,-32.21807861328125
1723738785962000000,8.999999755859376,-33.276084899902344
1723738786062000000,9.100000244140626,-32.4637565612793
1723738786162000000,9.199999755859375,-33.1207275390625
1723738786262000000,9.300000244140625,-34.61357498168945
1723738786362000000,9.399999755859374,-32.73215103149414
1723738786462000000,9.500000244140624,-32.402584075927734
1723738786562000000,9.599999755859375,-32.86515426635742
1723738786662000000,9.700000244140625,-34.577980041503906
1723738786762000000,9.799999755859375,-35.548309326171875
1723738786862000000,9.900000244140625,-30.040380477905273
1723738786962000000,9.999999755859376,-28.64142608642578
1723738787062000000,10.100000244140626,-31.530712127685547
1723738787162000000,10.199999755859375,-30.148170471191406
1723738787262000000,10.300000244140625,-28.159591674804688
1723738787362000000,10.399999755859374,-28.58977508544922
1723738787462000000,10.500000244140624,-29.924039840698242
1723738787562000000,10.599999755859375,-31.244770050048828
1723738787662000000,10.700000244140625,-30.56888771057129
1723738787762000000,10.799999755859375,-32.398780822753906
1723738787862000000,10.900000244140625,-32.721439361572266
1723738787962000000,10.999999755859376,-33.82627868652344
1723738788062000000,11.100000244140626,-35.23274612426758
1723738788162000000,11.199999755859375,-34.086082458496094
1723738788262000000,11.300000244140625,-34.680259704589844
1723738788362000000,11.399999755859374,-31.077543258666992
1723738788462000000,11.500000244140624,-30.968360900878906
1723738788562000000,11.599999755859375,-33.80942916870117
1723738788662000000,11.700000244140625,-35.249542236328125
1723738788762000000,11.799999755859375,-31.759836196899414
1723738788862000000,11.900000244140625,-33.52315139770508
1723738788962000000,11.999999755859376,-34.71551513671875
1723738789062000000,12.100000244140626,-32.907596588134766
1723738789162000000,12.199999755859375,-34.53007888793945
1723738789262000000,12.300000244140625,-34.360164642333984
1723738789362000000,12.399999755859374,-35.304683685302734
1723738789462000000,12.500000244140624,-35.465999603271484
1723738789562000000,12.599999755859375,-31.156591415405273
1723738789662000000,12.700000244140625,-28.890262603759766
1723738789762000000,12.799999755859375,-30.337682723999023
1723738789862000000,12.900000244140625,-32.79365921020508
1723738789962000000,12.999999755859376,-35.130645751953125
1723738790079000000,13.117,-36.75254821777344
1723738790195000000,13.233,-34.77131652832031
1723738790295000000,13.333,-31.663204193115234
1723738790395000000,13.433,-29.588823318481445
1723738790495000000,13.533,-31.74441909790039
1723738790595000000,13.633,-32.36661911010742
1723738790695000000,13.733,-31.74127197265625
1723738790795000000,13.833,-32.956417083740234
1723738790895000000,13.933,-34.146087646484375
1723738790995000000,14.033,-33.892784118652344
1723738791095000000,14.133,-33.33755111694336
1723738791195000000,14.233,-33.866092681884766
1723738791295000000,14.333,-30.914037704467773
1723738791395000000,14.433,-32.73725509643555
1723738791495000000,14.533,-32.862972259521484
1723738791595000000,14.633,-34.44548034667969
1723738791695000000,14.733,-35.38979721069336
1723738791795000000,14.833,-29.149057388305664
1723738791895000000,14.933,-30.76072120666504
1723738791995000000,15.033,-31.08174705505371
1723738792095000000,15.133,-32.93700408935547
1723738792195000000,15.233,-32.16322708129883
1723738792295000000,15.333,-33.84097671508789
1723738792395000000,15.433,-31.607070922851562
1723738792495000000,15.533,-34.32383728027344
1723738792595000000,15.633,-31.947397232055664
1723738792695000000,15.733,-33.836387634277344
1723738792795000000,15.833,-32.17082595825195
1723738792895000000,15.933,-33.30501174926758
1723738792995000000,16.033,-33.51503372192383
1723738793095000000,16.133,-34.95585632324219
1723738793195000000,16.233,-36.706729888916016
1723738793295000000,16.333,-33.7149772644043
1723738793395000000,16.433,-33.85261535644531
1723738793495000000,16.533,-34.125205993652344
1723738793595000000,16.633,-34.417572021484375
1723738793695000000,16.733,-36.47506332397461
1723738793795000000,16.833,-31.625804901123047
1723738793895000000,16.933,-33.67487716674805
1723738793995000000,17.033,-33.90953826904297
1723738794095000000,17.133,-33.45051956176758
1723738794195000000,17.233,-34.781986236572266
1723738794295000000,17.333,-32.4655876159668
1723738794395000000,17.433,-31.027894973754883
1723738794495000000,17.533,-32.578643798828125
1723738794595000000,17.633,-32.978797912597656
1723738794695000000,17.733,-34.82659149169922
1723738794795000000,17.833,-33.37566375732422
1723738794895000000,17.933,-34.91156005859375
1723738794995000000,18.033,-36.15274429321289
1723738795095000000,18.133,-33.867218017578125
1723738795195000000,18.233,-35.544898986816406
1723738795295000000,18.333,-32.49138259887695
1723738795395000000,18.433,-33.27078628540039
1723738795495000000,18.533,-28.997323989868164
1723738795595000000,18.633,-29.72374153137207
1723738795695000000,18.733,-30.70198631286621
1723738795795000000,18.833,-31.96355438232422
1723738795895000000,18.933,-33.44319534301758
1723738795995000000,19.033,-32.69400405883789
1723738796095000000,19.133,-33.75546646118164
1723738796195000000,19.233,-34.9366455078125
1723738796295000000,19.333,-36.155113220214844
1723738796395000000,19.433,-37.80292892456055
1723738796495000000,19.533,-35.646240234375
1723738796595000000,19.633,-34.359439849853516
1723738796695000000,19.733,-36.31060028076172
1723738796795000000,19.833,-34.17330551147461
1723738796895000000,19.933,-32.40884017944336
1723738796995000000,20.033,-33.351417541503906
1723738797095000000,20.133,-34.80412673950195
1723738797195000000,20.233,-32.40713119506836
1723738797295000000,20.333,-34.47789764404297
