1228, -208
1232, -209
1233, -212
1228, -207
1231, -209
1230, -214
1217, -206
1218, -211
1219, -211
1215, -206
1215, -210
1213, -214
1211, -207
1218, -208
1214, -213
1208, -210
1211, -206
1212, -211
1217, -214
1216, -208
1224, -207
1224, -212
1216, -211
1213, -206
1211, -212
1205, -215
1206, -210
1209, -213
1213, -218
1211, -213
1211, -212
1213, -218
1213, -217
1216, -213
1215, -218
1214, -219
1208, -213
1204, -215
1204, -220
1202, -217
1202, -213
1202, -217
1205, -215
1203, -212
1202, -215
1196, -219
1199, -215
1202, -213
1203, -220
1203, -216
1203, -212
1205, -211
1200, -217
1201, -215
1198, -210
1203, -216
1208, -218
1209, -211
1211, -213
1212, -218
1208, -214
1205, -214
1204, -220
1203, -213
1200, -214
1195, -219
1194, -212
1198, -213
1196, -219
1193, -212
1197, -214
1197, -220
1200, -213
1197, -214
1190, -219
1188, -216
1189, -212
1187, -217
1189, -219
1185, -215
1187, -214
1188, -219
1193, -219
1193, -215
1199, -215
1204, -219
1200, -219
1199, -213
1197, -216
1197, -220
1199, -212
1199, -219
1195, -215
1199, -212
1195, -220
1191, -212
1193, -217
1194, -218
1196, -212
1199, -219
1203, -213
1202, -214
1199, -217
1208, -210
1199, -216
1197, -215
1200, -211
1201, -217
1203, -213
1201, -213
1192, -218
1194, -211
1195, -214
1192, -218
1200, -211
1202, -213
1204, -218
1201, -218
1196, -211
1198, -214
1198, -219
1203, -211
1202, -210
1198, -216
1196, -212
1194, -210
1196, -217
1193, -212
1197, -210
1197, -216
1200, -212
1202, -210
1204, -216
1204, -215
1212, -211
1210, -216
1205, -213
1203, -209
1198, -215
1196, -215
1196, -209
1198, -212
1195, -217
1195, -211
1196, -211
1192, -216
1196, -214
1199, -209
1200, -213
1197, -216
1196, -211
1197, -211
1200, -217
1205, -213
1201, -208
1206, -214
1203, -216
1212, -211
1220, -209
1222, -214
1218, -217
1228, -213
1224, -208
1228, -209
1229, -214
1220, -212
1228, -207
1235, -207
1239, -212
1235, -213
1239, -202
1235, -202
1235, -210
1229, -209
1229, -202
1226, -208
1229, -207
1230, -204
1224, -210
1224, -204
1225, -203
1220, -209
1227, -203
1233, -201
1235, -205
1233, -207
1226, -199
1225, -203
1224, -207
1232, -202
1230, -200
1229, -206
1223, -207
1227, -200
1227, -205
1226, -208
1225, -202
1223, -203
1226, -208
1227, -204
1226, -200
1235, -207
1234, -204
1230, -199
1236, -204
1229, -205
1234, -199
1234, -201
1234, -206
1234, -202
1234, -199
1237, -204
1233, -205
1225, -199
1224, -199
1226, -203
1218, -203
1219, -197
1221, -197
1221, -202
1216, -197
1224, -196
1226, -202
1226, -199
1232, -195
1237, -200
1236, -203
1237, -198
1242, -196
1244, -200
1238, -201
1237, -196
1239, -196
1238, -201
1234, -198
1228, -192
1228, -198
1229, -200
1228, -196
1235, -196
1237, -201
1235, -196
1232, -193
1233, -198
1222, -199
1217, -192
1216, -192
1215, -197
1214, -195
1221, -194
1216, -191
1218, -196
1213, -194
1216, -189
1222, -191
1224, -195
1220, -191
1223, -188
1223, -195
1221, -191
1224, -189
1223, -195
1225, -188
1231, -192
1234, -192
1233, -188
1231, -193
1237, -191
1234, -187
1234, -191
1238, -190
1232, -185
1233, -188
1226, -190
1227, -185
1233, -185
1233, -190
1232, -184
1233, -182
1231, -187
1228, -187
1223, -182
1216, -183
1223, -188
1224, -186
1215, -182
1213, -181
1263, -182
1213, -186
1193, -186
