time,seconds_elapsed,dBFS
1724857025941000000,21.916,-30.786949157714844
1724857026042000000,22.016999755859374,-32.37259292602539
1724857026141000000,22.116,-33.85532760620117
1724857026241000000,22.216,-33.713714599609375
1724857026341000000,22.316,-35.096229553222656
1724857026441000000,22.416,-35.27053451538086
1724857026541000000,22.516,-31.839115142822266
1724857026641000000,22.616,-32.44068908691406
1724857026741000000,22.716,-33.4992561340332
1724857026842000000,22.816999755859374,-35.806278228759766
1724857026941000000,22.916,-36.03989791870117
1724857027041000000,23.016,-34.19747543334961
1724857027141000000,23.116,-32.08413314819336
1724857027241000000,23.216,-33.571495056152344
1724857027341000000,23.316,-32.06134796142578
1724857027441000000,23.416,-30.686086654663086
1724857027541000000,23.516,-33.465023040771484
1724857027641000000,23.616,-31.83068084716797
1724857027741000000,23.716,-32.98073959350586
1724857027841000000,23.816,-31.324756622314453
1724857027941000000,23.916,-32.23499298095703
1724857028041000000,24.016,-32.29779052734375
1724857028141000000,24.116,-34.247825622558594
1724857028241000000,24.216,-35.363319396972656
1724857028341000000,24.316,-34.39753341674805
1724857028441000000,24.416,-34.948516845703125
1724857028541000000,24.516,-32.016944885253906
1724857028641000000,24.616,-34.15928649902344
1724857028741000000,24.716,-32.91032028198242
1724857028841000000,24.816,-30.520204544067383
1724857028941000000,24.916,-29.150964736938477
1724857029041000000,25.016,-30.548851013183594
1724857029141000000,25.116,-31.031583786010742
1724857029241000000,25.216,-33.493492126464844
1724857029341000000,25.316,-33.342506408691406
1724857029441000000,25.416,-35.05991744995117
1724857029541000000,25.516,-34.268680572509766
1724857029641000000,25.616,-33.51675033569336
1724857029741000000,25.716,-31.90674591064453
1724857029841000000,25.816,-33.96501159667969
1724857029941000000,25.916,-35.10829544067383
1724857030041000000,26.016,-33.512718200683594
1724857030141000000,26.116,-34.23369216918945
1724857030241000000,26.216,-29.094770431518555
1724857030341000000,26.316,-30.76172637939453
1724857030441000000,26.416,-31.974071502685547
1724857030541000000,26.516,-32.354400634765625
1724857030641000000,26.616,-32.0810546875
1724857030741000000,26.716,-33.717796325683594
1724857030858000000,26.832999755859376,-32.50648498535156
1724857030974000000,26.949000244140624,-30.11829948425293
1724857031074000000,27.048999755859374,-29.197078704833984
1724857031175000000,27.15,-31.7575626373291
1724857031274000000,27.248999755859376,-33.43570327758789
1724857031374000000,27.349000244140626,-32.462547302246094
1724857031474000000,27.448999755859376,-34.25148010253906
1724857031574000000,27.549000244140625,-35.39332962036133
1724857031675000000,27.65,-34.92298889160156
1724857031774000000,27.749000244140625,-36.80271530151367
1724857031874000000,27.848999755859374,-31.684551239013672
1724857031974000000,27.949000244140624,-33.310638427734375
1724857032074000000,28.048999755859374,-33.80373001098633
1724857032174000000,28.149000244140623,-32.46529769897461
1724857032274000000,28.248999755859376,-35.23115921020508
1724857032374000000,28.349000244140626,-35.52792739868164
1724857032474000000,28.448999755859376,-35.74056625366211
1724857032574000000,28.549000244140625,-37.13543701171875
1724857032674000000,28.648999755859375,-32.6866455078125
1724857032774000000,28.749000244140625,-33.07028579711914
1724857032874000000,28.848999755859374,-33.629364013671875
1724857032974000000,28.949000244140624,-35.85704803466797
