time,seconds_elapsed,dBFS
1723738182196000000,6.803,-74.50081634521484
1723738182296000000,6.903,-71.7204360961914
1723738182396000000,7.003,-70.36326599121094
1723738182496000000,7.103,-70.98542785644531
1723738182597000000,7.204,-72.79218292236328
1723738182696000000,7.303,-75.21049499511719
1723738182796000000,7.403,-76.63042449951172
1723738182896000000,7.503,-78.20529174804688
1723738182996000000,7.603,-79.6998291015625
1723738183098000000,7.704999755859375,-80.62301635742188
1723738183213000000,7.82,-79.13134002685547
1723738183329000000,7.936,-80.43280792236328
1723738183429000000,8.036,-80.21961212158203
1723738183530000000,8.136999755859375,-78.06623840332031
1723738183629000000,8.236,-76.49125671386719
1723738183729000000,8.336,-77.77440643310547
1723738183829000000,8.436,-76.80170440673828
1723738183929000000,8.536,-78.86148071289062
1723738184029000000,8.636,-79.5069580078125
1723738184129000000,8.736,-80.21835327148438
1723738184229000000,8.836,-81.16596984863281
1723738184329000000,8.936,-77.19048309326172
1723738184429000000,9.036,-78.80693817138672
1723738184530000000,9.136999755859375,-79.1900405883789
1723738184629000000,9.236,-77.90711212158203
1723738184729000000,9.336,-79.04297637939453
1723738184829000000,9.436,-80.25839233398438
1723738184929000000,9.536,-78.12267303466797
1723738185029000000,9.636,-79.08170318603516
1723738185129000000,9.736,-80.05690002441406
1723738185229000000,9.836,-78.14764404296875
1723738185329000000,9.936,-78.64191436767578
1723738185429000000,10.036,-70.1772689819336
1723738185529000000,10.136,-71.53898620605469
1723738185629000000,10.236,-72.9610595703125
1723738185729000000,10.336,-74.72929382324219
1723738185829000000,10.436,-75.3628158569336
1723738185929000000,10.536,-75.51844024658203
1723738186029000000,10.636,-75.4719467163086
1723738186129000000,10.736,-76.22900390625
1723738186229000000,10.836,-77.9668197631836
1723738186329000000,10.936,-76.60028076171875
1723738186429000000,11.036,-77.62901306152344
1723738186529000000,11.136,-77.85383605957031
1723738186629000000,11.236,-77.38543701171875
1723738186729000000,11.336,-63.56145095825195
1723738186830000000,11.437000244140625,-66.60702514648438
1723738186929000000,11.536,-68.24347686767578
1723738187029000000,11.636,-70.94073486328125
1723738187129000000,11.736,-73.83168029785156
1723738187229000000,11.836,-75.60789489746094
1723738187329000000,11.936,-77.02203369140625
1723738187429000000,12.036,-79.5282974243164
1723738187529000000,12.136,-79.64933013916016
1723738187629000000,12.236,-78.79150390625
1723738187729000000,12.336,-79.8738021850586
1723738187829000000,12.436,-70.82160949707031
1723738187929000000,12.536,-61.737098693847656
1723738188029000000,12.636,-65.22496795654297
1723738188129000000,12.736,-67.49015045166016
1723738188229000000,12.836,-64.20532989501953
1723738188329000000,12.936,-67.03004455566406
1723738188429000000,13.036,-69.3188247680664
1723738188529000000,13.136,-71.78941345214844
1723738188629000000,13.236,-74.18326568603516
1723738188729000000,13.336,-75.82750701904297
1723738188829000000,13.436,-74.25239562988281
1723738188929000000,13.536,-59.626041412353516
1723738189029000000,13.636,-43.7607421875
1723738189129000000,13.736,-47.51432800292969
1723738189229000000,13.836,-53.12916564941406
1723738189329000000,13.936,-56.69279479980469
1723738189429000000,14.036,-60.20270919799805
1723738189529000000,14.136,-64.76245880126953
1723738189629000000,14.236,-67.7040786743164
1723738189729000000,14.336,-71.41217803955078
1723738189829000000,14.436,-72.55608367919922
1723738189929000000,14.536,-73.58488464355469
1723738190029000000,14.636,-75.36723327636719
1723738190129000000,14.736,-76.90990447998047
1723738190229000000,14.836,-78.21646881103516
1723738190329000000,14.936,-79.727783203125
1723738190429000000,15.036,-79.95606994628906
1723738190529000000,15.136,-72.41289520263672
1723738190629000000,15.236,-75.17633056640625
1723738190729000000,15.336,-76.95426940917969
1723738190829000000,15.436,-76.0948715209961
1723738190929000000,15.536,-75.41539764404297
1723738191029000000,15.636,-75.33560943603516
1723738191132000000,15.739,-75.86787414550781
1723738191246000000,15.853000244140626,-74.51669311523438
1723738191363000000,15.97,-75.66719818115234
1723738191463000000,16.07,-76.02208709716797
1723738191563000000,16.17,-75.18701934814453
1723738191662000000,16.269000244140624,-70.8638687133789
1723738191762000000,16.368999755859374,-72.2885971069336
1723738191862000000,16.469000244140624,-73.50434112548828
1723738191963000000,16.57,-74.479736328125
1723738192063000000,16.67,-75.4073257446289
1723738192162000000,16.768999755859376,-77.7064437866211
1723738192262000000,16.869000244140626,-78.36103820800781
1723738192362000000,16.968999755859375,-79.67068481445312
1723738192463000000,17.07,-76.04737091064453
1723738192563000000,17.17,-77.67456817626953
1723738192662000000,17.269000244140624,-79.08501434326172
1723738192762000000,17.368999755859374,-80.44439697265625
1723738192862000000,17.469000244140624,-81.7071533203125
1723738192962000000,17.568999755859377,-82.0301513671875
1723738193062000000,17.669000244140626,-78.80484008789062
1723738193162000000,17.768999755859376,-79.80084228515625
1723738193262000000,17.869000244140626,-79.84091186523438
1723738193362000000,17.968999755859375,-69.56932067871094
1723738193463000000,18.07,-69.376708984375
1723738193563000000,18.17,-71.94537353515625
1723738193662000000,18.269000244140624,-75.2514419555664
1723738193762000000,18.368999755859374,-77.50301361083984
1723738193862000000,18.469000244140624,-78.81002807617188
1723738193962000000,18.568999755859377,-76.42096710205078
1723738194062000000,18.669000244140626,-77.7223129272461
1723738194162000000,18.768999755859376,-78.60014343261719
1723738194262000000,18.869000244140626,-80.32878112792969
1723738194362000000,18.968999755859375,-81.09749603271484
1723738194463000000,19.07,-63.39161682128906
1723738194562000000,19.168999755859375,-65.9212417602539
1723738194662000000,19.269000244140624,-68.07305145263672
1723738194762000000,19.368999755859374,-70.03108215332031
1723738194862000000,19.469000244140624,-73.13091278076172
1723738194962000000,19.568999755859377,-74.77655792236328
1723738195062000000,19.669000244140626,-75.56153869628906
1723738195162000000,19.768999755859376,-77.41805267333984
1723738195262000000,19.869000244140626,-78.48954010009766
1723738195362000000,19.968999755859375,-78.08656311035156
1723738195463000000,20.07,-78.68705749511719
1723738195562000000,20.168999755859375,-75.49179077148438
1723738195662000000,20.269000244140624,-77.38224792480469
1723738195762000000,20.368999755859374,-77.7928466796875
1723738195862000000,20.469000244140624,-78.25941467285156
1723738195962000000,20.568999755859377,-76.61898803710938
